NC_019200.1	NC_019200.1
NC_019200.1	NC_004978.1
NC_019200.1	NC_010164.1
NC_019200.1	NZ_CP010414.1
NC_019200.1	NC_011332.1
NZ_CP018795.1	NZ_CP018795.1
NZ_CP013708.1	NZ_CP013708.1
NZ_CP013708.1	NZ_CP013687.1
NZ_CP013708.1	NZ_CP013842.1
NZ_CP013708.1	NZ_CP014220.1
NZ_CP013708.1	NZ_CP028860.1
NZ_CP013708.1	NC_012657.1
NZ_CP013708.1	NZ_CP031096.1
NZ_CP013708.1	NZ_CP013851.1
NZ_CP014807.1	NZ_CP014807.1
NZ_CP065814.1	NZ_CP065814.1
NZ_LR134419.1	NZ_LR134419.1
NZ_CP089153.1	NZ_CP089153.1
NC_017670.1	NC_017670.1
NC_019937.1	NC_019937.1
NC_019937.1	NZ_MK376341.1
NC_019937.1	NZ_CP025784.1
NC_019937.1	NZ_MK376349.1
NZ_CP010447.1	NZ_CP010447.1
NZ_CP002698.1	NZ_CP002698.1
NZ_CP002698.1	NZ_CP002702.1
NZ_CP002698.1	NZ_CP002704.1
NZ_CP002698.1	CP113413.1
NZ_CP002698.1	NZ_CP002700.1
NZ_CP002698.1	NZ_FJ705305.1
NZ_CP002698.1	NZ_FJ705299.1
NZ_CP002698.1	NC_017261.1
NZ_CP002698.1	NC_017257.1
NZ_CP002698.1	CP048748.1
NZ_CP002698.1	NZ_CP034874.1
NZ_CP002698.1	NZ_CP029162.1
NZ_CP002698.1	NC_001911.1
NZ_CP002698.1	CP113416.1
NZ_CP002698.1	NC_001910.1
NZ_CP002698.1	NZ_CP034862.1
NZ_CP002698.1	CP113410.1
NZ_CP002698.1	NC_002253.1
NZ_CP002698.1	NZ_CP034856.1
CP057265.1	CP057265.1
CP057265.1	NZ_CP082908.1
CP057265.1	CP119471.1
CP057265.1	CP082402.1
CP088347.1	CP088347.1
CP058542.1	CP058542.1
CP053690.1	CP053690.1
CP012848.1	CP012848.1
CP001773.1	CP001773.1
HG796817.1	HG796817.1
HG796405.1	HG796405.1
HG796343.1	HG796343.1
CP120666.1	CP120666.1
CP120666.1	NZ_CP134077.1
CP120666.1	NZ_CP076832.1
CP120666.1	NZ_CP016494.1
CP120666.1	NZ_CP025694.1
